news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/AYfn9ObFSs0/story.aspx,https://cdn.snapi.dev/images/v1/1/0-2/105080483-gettyimages-860277500530x298-2.jpg,FTC may sanction Zuckerberg for Facebook privacy woes: report,"Federal regulators are considering holding Facebook Inc.  Chief Executive Mark Zuckerberg accountable for the company's handling of users' personal data, the Washington Port reported late Thursday.",Market Watch,"Thu, 18 Apr 2019 20:43:59 -0400",CEO,Negative,Article,FB
https://www.youtube.com/watch?v=qSEQSX90J1U&t=502s,https://cdn.snapi.dev/images/v1/f/b/fb5-2.jpg,Earnings season is ramping up and these could be the big winners: Facebook,Next week is the biggest week form earnings. Should investors fade or trade into earnings.,CNBC Television,"Thu, 18 Apr 2019 18:03:49 -0400",earnings,Neutral,Video,FB
https://feeds.marketwatch.com/~r/marketwatch/internet/~3/zoF0oaH7B5k/story.asp,https://cdn.snapi.dev/images/v1/m/w/mw-hh924-instag-20190418171535-zh.jpg,Facebook now says ‘millions’ of Instagram passwords were exposed internally,Facebook Inc. said Thursday that a security incident that exposed Instagram passwords internally was significantly worse than first thought.,Market Watch,"Thu, 18 Apr 2019 17:26:59 -0400",,Negative,Article,FB
https://seekingalpha.com/article/4255322-facebooks-stock-may-surge-following-first-quarter-results?source=feed_tag_long_ideas,https://cdn.snapi.dev/images/v1/f/a/face2-2.jpg,Facebook's Stock May Surge Following First Quarter Results,Facebook stock may surge to as high $196 following results.,Seeking Alpha,"Thu, 18 Apr 2019 16:34:02 -0400",earnings,Positive,Article,FB
https://www.cnbc.com/2019/04/18/facebook-says-employees-had-access-to-millions-of-instagram-passwords.html,https://cdn.snapi.dev/images/v1/1/0/105121749-gettyimages-943912424530x298.jpg,Facebook says its employees had access to millions of Instagram passwords,"The company originally said in March that thousands of Instagram passwords were exposed, but updated that figure Thursday.",CNBC,"Thu, 18 Apr 2019 14:10:00 -0400",,Negative,Article,FB
https://www.fool.com/investing/2019/04/18/3-stocks-the-worlds-best-investors-are-buying-righ.aspx?source=iedfolrf0000001,https://cdn.snapi.dev/images/v1/e/t/etf19-10.jpg,Three Stocks the World's Best Investors Are Buying Now.,Many investors keep an eye on the additions and subtractions that billionaire hedge fund managers make.,The Motley Fool,"Thu, 18 Apr 2019 12:43:00 -0400",,Positive,Article,"FB,DIS,JPM"
https://www.zacks.com/stock/news/388375/facebook-fb-q1-earnings-to-gain-on-ad-stories-momentum,https://cdn.snapi.dev/images/v1/f/b/fbuu-2.jpg,Facebook (FB) Q1 Earnings to Gain on Ad & Stories Momentum,"Facebook's (FB) first-quarter 2019 results are likely to gain on continued subscriber growth, driven by rapid adoption of Instagram and WhatsApp Stories.",Zacks Investment Research,"Thu, 18 Apr 2019 11:13:00 -0400",earnings,Positive,Article,FB
https://www.youtube.com/watch?v=R4jYpFnEnIs,https://cdn.snapi.dev/images/v1/m/q-3/facebook-says-it-inadvertently-uploaded-15-million-users-email-contacts-without-permission.jpg,Facebook says it inadvertently uploaded 1.5 million users' email contacts without permission,"Facebook said on Wednesday evening it may have ""unintentionally uploaded"" the email contacts of up to 1.5 million users on its site, without their permission or knowledge, when they signed up for new accounts since May 2016.",CNBC Television,"Thu, 18 Apr 2019 06:55:54 -0400",,Negative,Video,FB
https://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/skfBi4LTcJQ/story.aspx,https://cdn.snapi.dev/images/v1/f/b/fb64-4.jpg,Facebook 'unintentionally uploaded' email contacts of 1.5 million users: report,"Facebook had ""unintentionally uploaded"" email contacts of 1.5 million new users since March 2016, Reuters reported late Wednesday, citing company confirmation in its report.",Market Watch,"Thu, 18 Apr 2019 06:01:05 -0400",,Negative,Article,FB
https://www.cnbc.com/2019/04/18/facebook-reportedly-uploaded-people-email-contacts-without-consent.html,https://cdn.snapi.dev/images/v1/1/0/105834773-1554447265166gettyimages-1134470871530x298-2.jpeg,Facebook says it 'unintentionally uploaded' 1.5 million users' email contacts without permission,"The reported incident is the latest in a long list of privacy concerns and controversies saddling the tech giant, which is facing increased government scrutiny.",CNBC,"Thu, 18 Apr 2019 00:06:00 -0400",,Negative,Article,FB
