news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://techcrunch.com/2019/11/30/facebook-bowed-to-a-singapore-government-order-to-brand-a-news-post-as-false/,https://cdn.snapi.dev/images/v1/f/a/facebook-instagram-appsjpgw500.jpg,"Facebook bowed to a Singapore government order to brand a news post as false","Facebook added a correction notice to a post by a fringe news site that Singapore’s government said contained false information.",TechCrunch,"Sat, 30 Nov 2019 13:05:23 -0500",,Neutral,Article,FB
https://www.marketwatch.com/story/ordered-by-singapore-facebook-posts-a-correction-2019-11-30,https://cdn.snapi.dev/images/v1/w/t/interest-ratesjpgquality90stripall.jpg,"The Wall Street Journal: Ordered by Singapore, Facebook Posts a Correction","Facebook Inc. has added a “correction notice” to a post that Singapore authorities alleged contains false information, becoming the first technology company to comply with a new law the government says is meant to curb fake news.","Market Watch","Sat, 30 Nov 2019 10:53:46 -0500",,Negative,Article,FB
https://www.reuters.com/article/us-singapore-fakenews/facebook-issues-first-correction-notice-at-singapores-request-idUSKBN1Y4043,https://cdn.snapi.dev/images/v1/m/0/m02d20191130t2i1458431673rlynxmpefat06sw640.jpg,"Facebook issues first correction notice at Singapore's request","Facebook issued its first correction notice on a user's post at the request of the Singapore government on Saturday, according to the notice seen by Reuters.",Reuters,"Sat, 30 Nov 2019 00:03:18 -0500",,Neutral,Article,FB
https://www.cnn.com/2019/11/29/media/singapore-fake-news-facebook-intl-hnk/index.html,https://cdn.snapi.dev/images/v1/g/e/gettyimages-659827634jpgw600.jpg,"Singapore just used its fake news law. Critics say it's just what they feared","Singapore just showed the world how it plans to use a controversial new law to tackle what it deems fake news — and critics say it's just what they expected would happen.","CNN Business","Fri, 29 Nov 2019 11:23:43 -0500",,Negative,Article,FB
https://seekingalpha.com/article/4309752-facebooks-total-yield-buyback-program-will-push-stock-higher,https://cdn.snapi.dev/images/v1/c/w/fb55-2.jpg,"Facebook's Total Yield From Its Buyback Program Will Push Its Stock Higher","Facebook's buyback program uses about 20% or higher of its FCF each quarter, or $1.3 billion. This is likely to increase to $1.5 billion in Q4.","Seeking Alpha","Fri, 29 Nov 2019 11:11:56 -0500",,Positive,Article,FB
https://www.forbes.com/sites/isabeltogoh/2019/11/29/facebook-faces-showdown-with-singapore-over-new-fake-news-law/,https://cdn.snapi.dev/images/v1/1/9/191111170337-facebook-phone-app-stock-super-169.jpg,"Facebook Faces Showdown With Singapore Over New ‘Fake News Law’","Singapore has ordered Facebook to publish a correction on a social media post from a user in a test for a new law meant to tackle online disinformation.",Forbes,"Fri, 29 Nov 2019 11:01:28 -0500",,Negative,Article,FB
https://www.zacks.com/stock/news/646495/facebook-to-buy-beat-games-ups-ante-in-vr-gaming-space,https://cdn.snapi.dev/images/v1/2/q/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5461492foculus-questjpgw700opresize.jpg,"Facebook to Buy Beat Games, Ups Ante in VR Gaming Space","Facebook's (FB) Beat Games acquisition is expected to expand its VR game content portfolio, which will eventually help it sell more VR hardware devices.","Zacks Investment Research","Fri, 29 Nov 2019 08:37:00 -0500",manda,Positive,Article,FB
https://www.marketwatch.com/story/facebook-blames-holiday-outages-on-central-software-system-2019-11-29,https://cdn.snapi.dev/images/v1/m/w/mw-hu061-facebo-20191025172424-zhjpguuidd0f478d0-f76d-11e9-b6c4-9c8e992d421e.jpg,"The Wall Street Journal: Facebook blames holiday outages on central software system","Facebook Inc. said it had restored service to users of its Facebook, Messenger and Instagram platforms, after an hourslong outage that disrupted many users’ ability to access them on Thanksgiving Day.","Market Watch","Fri, 29 Nov 2019 05:36:20 -0500",,Negative,Article,FB
https://www.iris.xyz/ideas/insights/10-tech-giants-that-are-in-bad-shape,https://cdn.snapi.dev/images/v1/4/2/42tgesm-1.jpg,"10 Tech Giants That Are (Almost All) in Bad Shape","Many US tech giants have been going through a rough patch recently. And so today I simply wanted to sift through the list and assess the situation.",Iris,"Fri, 29 Nov 2019 03:40:52 -0500",,Negative,Article,"AAPL,AMZN,FB,GOOG,GOOGL,MSFT,NFLX,SNAP,TSLA,TWTR,UBER"
https://www.reuters.com/article/us-singapore-fakenews/singapore-tells-facebook-to-correct-users-post-in-test-of-fake-news-laws-idUSKBN1Y3093,https://cdn.snapi.dev/images/v1/m/0/m02d20191129t2i1458084765rlynxmpefas05sw640.jpg,"Singapore tells Facebook to correct user's post in test of 'fake news' laws","Singapore instructed Facebook on Friday to publish a correction notice on a user's social media post under a new 'fake news' law, raising fresh questions about how the firm will adhere to government requests to regulate content.",Reuters,"Fri, 29 Nov 2019 03:09:36 -0500",,Negative,Article,FB
