news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.youtube.com/watch?v=9a_9Z10RsvQ,https://cdn.snapi.dev/images/v1/m/q/is-it-time-to-unfriend-facebook.jpg,Is it time to unfriend Facebook,"The traders take questions from FM viewers, during Total Requests With CNBC's Melissa Lee and the Fast Money traders, Guy Adami, Bonawyn Eisen and Dan Nathan.",CNBC Television,"Tue, 01 Sep 2020 18:37:26 -0400",,Positive,Video,FB
https://www.forbes.com/sites/siladityaray/2020/09/01/facebooks-new-terms-allow-it-to-take-down-any-content-that-may-put-it-at-legal-regulatory-risk/,https://cdn.snapi.dev/images/v1/l/z/facebooks-new-terms-allow-it-to-take-down-any-content-that-may-put-it-at-legal-regulatory-risk.jpg,"Facebook’s New Terms Allow It To Take Down Any Content That May Put It At Legal, Regulatory Risk",The new policy will roll out globally starting October 1.,Forbes,"Tue, 01 Sep 2020 13:45:34 -0400",,Neutral,Article,FB
https://www.youtube.com/watch?v=j0c6c0K3VBI,https://cdn.snapi.dev/images/v1/p/e/facebook-will-block-content-that-poses-legal-risk.jpg,Facebook will block content that poses legal risk,Yahoo Finance's Aikiko Fujita and Adam Shapiro report on the Facebook's plans to block content that poses legal risk.,Yahoo Finance,"Tue, 01 Sep 2020 13:32:05 -0400",,Neutral,Video,FB
https://www.zacks.com/stock/news/1051171/august-clocks-monster-gains-5-etf-areas-up-at-least-20,https://cdn.snapi.dev/images/v1/p/e/etf10.jpg,August Clocks Monster Gains: 5 ETF Areas Up At Least 20%,Wall Street logged huge gains in the month of August. These ETF areas emerged special winners.,Zacks Investment Research,"Tue, 01 Sep 2020 13:00:00 -0400",,Positive,Article,"BETZ,FB,FNGS,GAZ,PEZ,QCLN,TAN,UNG"
https://nypost.com/2020/09/01/facebook-threatens-to-block-news-sharing-in-australia/,https://cdn.snapi.dev/images/v1/f/a/facebook-data-cambridge-analytica-1jpgquality90stripall.jpg,Facebook threatens to block news sharing in Australia,"Facebook has threatened to block Australians from sharing news articles if lawmakers there approve a proposal to make it pay news outlets for their content. In a blog post dated Monday, the social-media titan indicated it will “reluctantly” stop users and publishers from sharing local and international news on Facebook and Instagram rather than negotiate.",New York Post,"Tue, 01 Sep 2020 10:56:19 -0400",,Negative,Article,FB
https://www.reuters.com/article/us-facebook-india/indian-it-minister-accuses-facebook-of-bias-amid-row-over-content-idUSKBN25S5BS,https://cdn.snapi.dev/images/v1/d/d/m02d20200901t2i1531802044w940fhfwllplsqrlynxmpeg802xx.jpg,Indian IT minister accuses Facebook of bias amid row over content,"India's minister for information technology and law Ravi Shankar Prasad raised concerns on Tuesday over the deletion of some pages and posts on Facebook, accusing some employees of the social media platform in India of bias and inaction.",Reuters,"Tue, 01 Sep 2020 10:21:00 -0400",,Negative,Article,FB
https://www.cnet.com/news/facebook-notifies-people-it-can-remove-or-block-content-to-avoid-regulatory-risk/,https://cdn.snapi.dev/images/v1/m/9/p-1-libra-1.jpg,Facebook notifies people it can remove or block content to avoid regulatory risk,The social network is updating its terms of service.,CNET,"Tue, 01 Sep 2020 10:14:29 -0400",,Neutral,Article,FB
https://www.cnet.com/news/facebooks-mark-zuckerberg-pledges-300m-to-support-safe-and-reliable-voting/,https://cdn.snapi.dev/images/v1/h/0/fbt2-2.jpg,Facebook's Mark Zuckerberg pledges $300M to support 'safe and reliable voting',"The money will go to two nonprofit groups: the Center for Tech and Civic Life and the Center for Election
Innovation & Research.",CNET,"Tue, 01 Sep 2020 09:23:15 -0400",CEO,Positive,Article,FB
https://www.fool.com/investing/2020/09/01/top-artificial-intelligence-stocks-buy-september/,https://cdn.snapi.dev/images/v1/z/k/100ss8.jpg,3 Top Artificial Intelligence Stocks to Buy in September,Advancements in AI are shaping the world. Let them shape your portfolio's performance.,The Motley Fool,"Tue, 01 Sep 2020 08:15:00 -0400",,Positive,Article,"APPN,FB,XLNX"
https://techcrunch.com/2020/09/01/facebook-threatens-to-block-news-sharing-in-australia-as-it-lobbies-against-revenue-share-law/,https://cdn.snapi.dev/images/v1/k/h/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5523162fmark-f8-2016jpgw700opresize.jpg,Facebook threatens to block news sharing in Australia as it lobbies against revenue share law,"Adtech giant and self-styled ‘free speech champion’, Facebook, has threatened to pull the plug on the public sharing of news content on Facebook and Instagram in Australia. The aggressive threat is Facebook’s attempt to lobby against a government plan that will require it and Google to share revenue with regional news media to recompense publishers […]",TechCrunch,"Tue, 01 Sep 2020 04:59:27 -0400",,Negative,Article,FB
https://www.cnn.com/2020/09/01/tech/facebook-google-australia-intl-hnk/index.html,https://cdn.snapi.dev/images/v1/2/0/200831225153-facebook-file-restricted-super-169.jpg,Facebook says it will block users in Australia from sharing news if new rules go forward,Facebook is warning its users in Australia that it will stop allowing them to share local and international news if the country moves forward with new legislation that would force the company to pay media outlets for the use of their news content.,CNN Business,"Tue, 01 Sep 2020 01:18:40 -0400",,Negative,Article,FB
https://www.youtube.com/watch?v=ObMVqPB5qnk,https://cdn.snapi.dev/images/v1/m/q/facebook-may-cut-off-australians-from-sharing-news.jpg,Facebook May Cut Off Australians From Sharing News,Sep.01 -- Facebook Inc.,Bloomberg Markets and Finance,"Tue, 01 Sep 2020 01:01:19 -0400",,Negative,Video,FB
